ID;PRODUKT;PRODUKT-KATEGORIE;Kategorie;INTERNER PRODUKTNAME;Preis;Link;Bezahlseite;Produktseite Text;Call to Action
378508;Hypnotisches Magenband (Unlimited);Workshop;Gewichtsreduktion;Workshop_Hypnotisches_Magenband;677;https://myablefy.com/s/katrin-van-sol/hypnotischesmagenband;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/hypnotischesmagenband/payment;"Es ist Zeit, den Kreislauf zu durchbrechen. Es ist Zeit für Dich!

Ich begleite dich über 3 Tage als deine persönliche Hypnose-Expertin in ein „leichtes“ Leben.

Dieser Kurs ist richtig für dich, wenn:
✔️ Du dein Lieblingsessen genießen und gleichzeitig abnehmen möchtest
✔️ Du nachhaltig abnehmen möchtest, ohne den Jojo-Effektt
✔️ Du keine Lust auf Verbote auf dem Weg in ein neues Leben hast.
✔️ Du verstanden hast, dass Low Carb, FdH oder ein bestimmtes Abnehmprogramm dich nicht zu deinem Wunschgewicht führen.

Nach den 3 Tagen wirst du …
 ✔️ essen, bis du körperlich satt bist, aber nicht übermäßig voll.
 ✔️ dich fühlen wie ein Schlanker, denken wie ein Schlanker und dich auch so sehen können.
 ✔️ mehr erreichen als nur Gewichtsverlust. Es geht darum, dein Leben zu verändern.
 ✔️ dein Gespür für Lebensmittel wird viel sensibler, sodass du intuitiv zu gesunden Lebensmitteln greifst, nicht weil du musst, sondern weil du Lust darauf hast und spürst, wie gut es dir tut.
 
Bist du bereit, deine Beziehung zu Essen neu zu definieren? Und willst du dein Wunschgewicht ohne Kampf, sondern mit Leichtigkeit erreichen?

Dann lass uns jetzt gemeinsam starten!
";"Worauf wartest du noch?
Verändere dein Essverhalten nachhaltig – starte jetzt mit dem „Hypnotischen Magenband“ in dein neues Körpergefühl. Melde dich noch heute an.
"
380818;Heile Dich, Befreie Dich, Aktiviere Deine Selbstheilungskraefte!;Workshop;Vergebensarbeit;Workshop_heile_dich_befreie_dich;444;https://myablefy.com/s/katrin-van-sol/online-kurs-heile-dich-befreie-dich-aktiviere-deine-selbstheilungskraefte-966a93a8;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/online-kurs-heile-dich-befreie-dich-aktiviere-deine-selbstheilungskraefte-966a93a8/payment;"Heile Dich, Befreie Dich, Aktiviere Deine Selbstheilungskräfte!
Die Essenz unseres Lebens liegt in unserer Gesundheit. Sie bildet das Fundament für alles, was wir tun. Unser Körper ist unser kostbarstes Gut, doch oft bietet unser herkömmliches Gesundheitssystem nicht die Möglichkeit zur ganzheitlichen Selbsthilfe und Gesundheit. Aus diesem Grund ist es an der Zeit, ein Bewusstsein zu entwickeln und klar zu sehen. Wir müssen erkennen, welche Faktoren uns beeinträchtigen und wie wir selbst zur Heilung beitragen können. Unser Körper kommuniziert mit uns, wenn wir unserem inneren Selbst nicht mehr zuhören. Tatsächlich ist Krankheit oft der erste Schritt des Körpers, um eine Lösung zu finden. Es ist an der Zeit, diese Botschaften zu entschlüsseln und die Fähigkeit zu erlangen, uns selbst zu helfen.  Wenn du bereit bist, die Verantwortung für deine Gesundheit und dein Wohlbefinden zu übernehmen und aktiv an deiner Heilung zu arbeiten, dann ist dieser Kurs genau das Richtige für dich. Du wirst dich radikal deiner Krankheit, deinen Ängsten stellen um zu heilen und loszulassen.  Ich begleite dich über 2 Tage als deine persönliche Hypnose-Expertin in ein „leichtes“ Leben.  Worauf wartest du noch?
Beginne jetzt mit dem Online-Kurs ""Heile Dich, Befreie Dich, Aktiviere Deine Selbstheilungskräfte“ und starte deinen Weg zur Heilung und Freiheit!

";"Worauf wartest du noch?
Beginne jetzt mit dem Online-Kurs ""Heile Dich, Befreie Dich, Aktiviere Deine Selbstheilungskräfte“ und starte deinen Weg zur Heilung und Freiheit!
"
390398;The Key - Der Onlinekurs;Workshop;Selbstliebe;Workshop_The_Key;444;https://myablefy.com/s/katrin-van-sol/the-key;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/the-key/payment;"The Key - Vergebung als Schlüssel zu deinem selbstbestimmten ICH  The Key - Der Onlinekurs
Vergebung lernen – Loslassen und innere Freiheit finden
Die Vergangenheit loslassen. Alten Schmerz heilen und sich selbst wiederfinden.  Vergebung ist der Schlüssel zu einem friedvollen und befreiten Leben. Sie gibt dir die Möglichkeit, alte emotionale Lasten loszuwerden und dich für neue Erfahrungen und Beziehungen zu öffnen. In diesem intensiven Online-Kurs wirst du nicht nur die grundlegenden Prinzipien der Vergebung kennenlernen, sondern auch tief in die Praxis eintauchen. Mit bewährten Techniken, Hypnosen und Reflexionsübungen wirst du die Kraft der Vergebung nicht nur verstehen, sondern auch emotional erleben – ein Prozess, der dein Leben nachhaltig verändern kann.
 Kursinhalt:
Die Macht der Vergebung:
Lerne, warum Vergebung so wichtig für dein emotionales Wohlbefinden ist und wie sie dein Leben positiv beeinflussen kann. Erfahre, wie du negative Erlebnisse hinter dir lässt und dich für neue, positive Erfahrungen öffnest.

Tiefgehende Hypnosetechniken:
Mithilfe spezieller Hypnosen tauchst du tief in das Gefühl der Vergebung ein. Diese Techniken helfen dir, alte Wunden zu heilen und emotionale Blockaden zu lösen. Du kannst die Hypnosen jederzeit wiederholen, um deinen Heilungsprozess zu unterstützen.

Reflexionsübungen im Workbook:
Unterstützt von einem ausführlichen Workbook wirst du angeleitet, deine persönlichen Erfahrungen zu reflektieren und den Weg der Vergebung zu gehen. Durch gezielte Übungen erkennst du, wie du loslassen und inneren Frieden finden kannst.

Praktische Tipps und Techniken:
Entdecke konkrete Strategien und Techniken, die dir im Alltag helfen, Vergebung zu üben und langfristig ein Leben in Freiheit und Leichtigkeit zu führen.

Alte Verletzungen überwinden:
Erfahre, wie du alte Wunden heilen und dich von negativen Gedankenmustern befreien kannst. Durch die Vergebung wirst du emotional gestärkt und bereit für neue, gesunde Beziehungen.

Jetzt Loslassen & Befreien!";"Jetzt Loslassen & Befreien!
Die Vergangenheit loslassen. Alten Schmerz heilen und sich selbst wiederfinden.
"
447217;Hypnotischer Magenballon;Workshop;VANSOL;Workshop_Hypnotischer_Magenballon;444;https://myablefy.com/s/katrin-van-sol/hypnotischer-magenballon;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/hypnotischer-magenballon/payment;"Es ist Zeit, Deine Leichtigkeit zurückzuholen!

In diesem intensiven 2-Tages-Programm begleite ich dich als deine Hypnosetherapeutin in eine neue Version deiner selbst – voller Energie, Klarheit und tiefer Verbundenheit mit deinem Körper.

Vielleicht hast du schon auf Instagram gesehen, wie Lisa Reyes mit dem Hypnotischen Magenballon ihr Wunschgewicht erreicht hat – und vielleicht fühlst du dich genau dadurch inspiriert, diesen Weg nun auch für dich zu gehen.

Wichtig zu wissen:

Dies ist keine Diät.
Es gibt keine Verbote, keine Essenspläne und kein Kalorienzählen.

Stattdessen lösen wir gemeinsam die wahren Ursachen dafür:
warum du bisher mehr gegessen hast, als dein Körper wirklich braucht
warum Essen ein Ventil für Emotionen geworden ist
und warum du deinen Körper unbewusst wie einen Mülleimer behandelt hast.
Mit dem Hypnotischen Magenballon beendest du emotionales Essen – und findest zurück zu intuitivem Essen, Leichtigkeit und echter Freiheit.

Flexibel für dich:
Du kannst das Programm in deinem eigenen Tempo durchlaufen und/oder an den regelmäßig stattfindenden Live-Event-Tagen teilnehmen. Die Zugangslinks dafür erhältst du exklusiv auf der Plattform.

Dieser Workshop ist perfekt für Dich, wenn:
✔️ Du 5–10 kg abnehmen möchtest – auf sanfte und intuitive Weise
✔️ Du spüren willst, wie sich mehr Weiblichkeit, Energie und Leichtigkeit in Deinem Leben entfalten
✔️ Du emotionalen Stress loslassen willst, der sich als überflüssiges Gewicht zeigt
✔️ Du in kurzer Zeit eine echte Transformation erleben willst – kompakt und tiefgreifend

Nach diesen 2 Tagen wirst Du…
✔️ ein neues Gespür für Deinen Körper entwickeln
✔️ satt und zufrieden essen, ohne Verzicht
✔️ Dich nicht nur leichter fühlen, sondern auch freier und selbstbewusster
✔️ verstehen, warum Diäten Dich bisher nicht dorthin gebracht haben, wo Du eigentlich hinwillst
 
Und das Beste: Durch die kompakte Dauer ist der Workshop nicht nur intensiv, sondern auch besonders preiswert.

Dann ist jetzt der richtige Moment, um loszugehen – für Dich.
";"Worauf wartest du noch?
Hol dir deine Leichtigkeit zurück – starte jetzt mit dem „Hypnotischen Magenballon“ in ein neues Körpergefühl. Melde dich noch heute an.
"
492032;VANSOL Inner Circle;Membership;;Membership_Inner_Circle;555;https://myablefy.com/s/katrin-van-sol/inner-circle;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/inner-circle/payment;;
476451;VANSOL Hypnose COPD;Hypnose;Krankheit;0008_COPD;96;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/hypnose-copd;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/hypnose-copd/payment;;
476556;VANSOL Hypnose Asthma;Hypnose;Krankheit;0009_Asthma;96;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/Hypnose-Astma;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/Hypnose-Astma/payment;;
477133;VANSOL Hypnose Schlaganfall;Hypnose;Krankheit;Hypnose Schlaganfall;96;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/Schlaganfall;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/Schlaganfall/payment;;
477150;VANSOL Hypnose Schilddruesenunterfunktion;Hypnose;Krankheit;0005_Schilddruesenunterfunktion;96;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/Schilddruesenunterfunktion;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/Schilddruesenunterfunktion/payment;;
477172;VANSOL Hypnose Bronchitis;Hypnose;Krankheit;0011_Bronchitis;96;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/Bronchitis;https://katrin-van-sol.my-ablefy.com/s/katrin-van-sol/Bronchitis/payment;;
